2021-01-21 17:27:23,814 DBNet.pytorch INFO: [1/100], [5860/6416], global_step: 5860, speed: 2.7 samples/sec, acc: 0.7356, iou_shrink_map: 0.5428, loss: 2.6249loss_shrink_maps: 0.7173, loss_threshold_maps: 0.1022, loss_binary_maps: 0.8852, , lr:0.000455091, time:3.67
2021-01-21 17:27:27,444 DBNet.pytorch INFO: [1/100], [5870/6416], global_step: 5870, speed: 2.8 samples/sec, acc: 0.7356, iou_shrink_map: 0.5429, loss: 1.4854loss_shrink_maps: 0.4006, loss_threshold_maps: 0.0752, loss_binary_maps: 0.3332, , lr:0.000455299, time:3.63
2021-01-21 17:27:31,103 DBNet.pytorch INFO: [1/100], [5880/6416], global_step: 5880, speed: 2.7 samples/sec, acc: 0.7357, iou_shrink_map: 0.5430, loss: 1.9401loss_shrink_maps: 0.5596, loss_threshold_maps: 0.0831, loss_binary_maps: 0.5494, , lr:0.000455507, time:3.66
2021-01-21 17:27:34,752 DBNet.pytorch INFO: [1/100], [5890/6416], global_step: 5890, speed: 2.7 samples/sec, acc: 0.7358, iou_shrink_map: 0.5431, loss: 1.2928loss_shrink_maps: 0.3321, loss_threshold_maps: 0.0767, loss_binary_maps: 0.1934, , lr:0.000455715, time:3.65
2021-01-21 17:27:38,391 DBNet.pytorch INFO: [1/100], [5900/6416], global_step: 5900, speed: 2.7 samples/sec, acc: 0.7360, iou_shrink_map: 0.5433, loss: 1.6928loss_shrink_maps: 0.4490, loss_threshold_maps: 0.0840, loss_binary_maps: 0.4034, , lr:0.000455923, time:3.64
2021-01-21 17:27:42,054 DBNet.pytorch INFO: [1/100], [5910/6416], global_step: 5910, speed: 2.7 samples/sec, acc: 0.7359, iou_shrink_map: 0.5433, loss: 1.5358loss_shrink_maps: 0.4596, loss_threshold_maps: 0.0720, loss_binary_maps: 0.3565, , lr:0.000456131, time:3.66
2021-01-21 17:27:45,744 DBNet.pytorch INFO: [1/100], [5920/6416], global_step: 5920, speed: 2.7 samples/sec, acc: 0.7357, iou_shrink_map: 0.5434, loss: 2.3245loss_shrink_maps: 0.5497, loss_threshold_maps: 0.1141, loss_binary_maps: 0.6336, , lr:0.000456338, time:3.69
2021-01-21 17:27:49,389 DBNet.pytorch INFO: [1/100], [5930/6416], global_step: 5930, speed: 2.7 samples/sec, acc: 0.7358, iou_shrink_map: 0.5435, loss: 1.2037loss_shrink_maps: 0.4029, loss_threshold_maps: 0.0563, loss_binary_maps: 0.2376, , lr:0.000456546, time:3.64
2021-01-21 17:27:53,013 DBNet.pytorch INFO: [1/100], [5940/6416], global_step: 5940, speed: 2.8 samples/sec, acc: 0.7361, iou_shrink_map: 0.5437, loss: 1.3705loss_shrink_maps: 0.4103, loss_threshold_maps: 0.0648, loss_binary_maps: 0.3122, , lr:0.000456754, time:3.62
2021-01-21 17:27:56,671 DBNet.pytorch INFO: [1/100], [5950/6416], global_step: 5950, speed: 2.7 samples/sec, acc: 0.7361, iou_shrink_map: 0.5438, loss: 1.6364loss_shrink_maps: 0.4645, loss_threshold_maps: 0.0819, loss_binary_maps: 0.3527, , lr:0.000456962, time:3.66
2021-01-21 17:28:00,289 DBNet.pytorch INFO: [1/100], [5960/6416], global_step: 5960, speed: 2.8 samples/sec, acc: 0.7358, iou_shrink_map: 0.5439, loss: 1.7669loss_shrink_maps: 0.4591, loss_threshold_maps: 0.0933, loss_binary_maps: 0.3745, , lr:0.00045717, time:3.62
2021-01-21 17:28:03,917 DBNet.pytorch INFO: [1/100], [5970/6416], global_step: 5970, speed: 2.8 samples/sec, acc: 0.7359, iou_shrink_map: 0.5440, loss: 2.9444loss_shrink_maps: 0.7733, loss_threshold_maps: 0.1189, loss_binary_maps: 0.9825, , lr:0.000457377, time:3.63
2021-01-21 17:28:07,508 DBNet.pytorch INFO: [1/100], [5980/6416], global_step: 5980, speed: 2.8 samples/sec, acc: 0.7359, iou_shrink_map: 0.5441, loss: 1.9790loss_shrink_maps: 0.5331, loss_threshold_maps: 0.0873, loss_binary_maps: 0.5728, , lr:0.000457585, time:3.59
2021-01-21 17:28:11,093 DBNet.pytorch INFO: [1/100], [5990/6416], global_step: 5990, speed: 2.8 samples/sec, acc: 0.7358, iou_shrink_map: 0.5442, loss: 1.8570loss_shrink_maps: 0.5245, loss_threshold_maps: 0.0870, loss_binary_maps: 0.4624, , lr:0.000457793, time:3.58
2021-01-21 17:28:14,690 DBNet.pytorch INFO: [1/100], [6000/6416], global_step: 6000, speed: 2.8 samples/sec, acc: 0.7358, iou_shrink_map: 0.5443, loss: 1.8537loss_shrink_maps: 0.4750, loss_threshold_maps: 0.0925, loss_binary_maps: 0.4534, , lr:0.000458001, time:3.60
2021-01-21 17:28:18,299 DBNet.pytorch INFO: [1/100], [6010/6416], global_step: 6010, speed: 2.8 samples/sec, acc: 0.7360, iou_shrink_map: 0.5445, loss: 2.2411loss_shrink_maps: 0.5388, loss_threshold_maps: 0.1108, loss_binary_maps: 0.5945, , lr:0.000458209, time:3.61
2021-01-21 17:28:21,907 DBNet.pytorch INFO: [1/100], [6020/6416], global_step: 6020, speed: 2.8 samples/sec, acc: 0.7362, iou_shrink_map: 0.5446, loss: 3.1084loss_shrink_maps: 0.7928, loss_threshold_maps: 0.1362, loss_binary_maps: 0.9535, , lr:0.000458416, time:3.61
2021-01-21 17:28:25,504 DBNet.pytorch INFO: [1/100], [6030/6416], global_step: 6030, speed: 2.8 samples/sec, acc: 0.7363, iou_shrink_map: 0.5447, loss: 1.8544loss_shrink_maps: 0.4709, loss_threshold_maps: 0.0943, loss_binary_maps: 0.4409, , lr:0.000458624, time:3.60
